OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0004E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0037E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0048E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0075E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0089E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0101E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0109E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0134E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,GIS_ID,SHAPEAREA,SHAPELEN
99,11,001,005500,11001005500,55,Census Tract 55,G5020,S,629389,9350,+38.9077913,-077.0493321,4664,3909,755,0,3.5,4664,0,303,132,295,161,31,3707,0,35,4664,125,158,941,681,373,558,325,267,110,1126,4664,838,757,1236,904,429,180,31,85,204,3.1,4664,993,1832,1424,221,123,71,3909,1576,2333,1.6,1.65,3909,685,938,1336,628,183,139,3909,2022,1670,217,0,3909,1202,32,2586,26,0,0,0,30,33,3909,0,29,42,3909,3742,0,167,1576,0,0,0,0,122,337,601,516,719300,1576,1089,487,1089,0,30,35,91,88,283,562,3156,487,0,29,0,79,66,313,1220,1049,471,145,87,213,133,40,487,150,30,62,93,71,0,81,0,2333,40,48,325,504,360,514,542,2347,0,2280,305,277,319,251,176,952,53,ACS_Housing_DC_CensusTract_8,0,0
100,11,001,005301,11001005301,53.01,Census Tract 53.01,G5020,S,286403,0,+38.9107789,-077.0389515,3717,3448,269,8.1,6,3717,67,117,125,251,143,251,2712,51,0,3717,110,32,44,13,342,409,469,476,175,1647,3717,804,959,1031,428,135,117,43,108,92,2.6,3717,1215,1671,537,116,86,92,3448,1257,2191,1.55,1.44,3448,560,972,1033,474,250,159,3448,2041,1215,192,0,3448,1233,107,1904,50,0,0,19,85,50,3448,0,0,50,3448,3361,13,74,1257,15,0,0,22,229,504,307,180,424700,1257,885,372,885,0,57,67,214,96,208,243,2520,372,67,15,30,132,49,79,699,885,446,182,100,16,141,0,355,197,49,35,31,32,0,11,17,2142,0,26,377,807,489,285,158,1914,49,2062,318,241,359,282,239,623,129,ACS_Housing_DC_CensusTract_105,0,0
101,11,001,005201,11001005201,52.01,Census Tract 52.01,G5020,S,339712,0,+38.9102026,-077.0341232,4409,4028,381,0,10.6,4409,63,196,78,244,196,369,3263,0,0,4409,70,149,819,340,445,232,370,280,419,1285,4409,717,812,1714,611,356,129,27,12,31,2.9,4409,1038,1973,1127,218,53,0,4028,1378,2650,1.61,1.37,4028,729,1002,1244,733,182,138,4028,2333,1372,266,57,4028,1651,54,2104,131,0,0,0,11,77,4028,0,0,122,4028,3849,30,149,1378,55,0,54,0,92,217,718,242,615800,1378,1111,267,1111,0,55,58,228,70,207,493,2849,267,37,0,56,81,15,78,650,1111,406,357,172,50,126,0,267,133,12,88,0,0,34,0,0,2616,111,116,292,989,347,403,358,1899,34,2493,419,441,407,376,320,530,157,ACS_Housing_DC_CensusTract_104,0,0
102,11,001,005001,11001005001,50.01,Census Tract 50.01,G5020,S,204439,0,+38.9119217,-077.0295174,1046,973,73,2.5,6.1,1046,52,273,196,213,32,123,157,0,0,1046,26,0,133,10,38,7,37,43,27,725,1046,80,98,272,192,82,98,29,60,135,3.9,1046,88,267,419,75,178,19,973,387,586,2.04,1.95,973,183,164,356,127,39,104,973,393,468,97,15,973,573,0,391,0,0,0,9,0,0,973,0,0,0,973,934,11,28,387,8,0,0,0,0,22,189,168,930700,387,332,55,332,0,8,10,32,48,35,199,3644,55,0,0,0,0,19,36,1050,332,171,79,41,14,27,0,55,33,5,7,0,10,0,0,0,541,34,38,63,62,120,95,129,2306,45,541,133,70,109,41,86,102,45,ACS_Housing_DC_CensusTract_170,0,0
103,11,001,004901,11001004901,49.01,Census Tract 49.01,G5020,S,271866,0,+38.9113296,-077.0244761,1744,1675,69,0,1.4,1744,85,261,111,144,49,34,1060,0,0,1744,494,285,85,29,27,114,50,74,20,566,1744,181,278,586,352,169,79,24,39,36,3.2,1744,181,686,567,255,43,12,1675,305,1370,1.93,2.04,1675,457,393,445,223,61,96,1675,731,753,191,0,1675,530,0,1117,6,0,0,0,0,22,1675,6,33,24,1675,1600,22,53,305,0,0,0,0,0,13,173,119,921000,305,271,34,271,0,0,0,26,15,10,220,3328,34,11,0,15,0,0,8,460,251,139,27,11,18,56,20,34,10,8,5,0,0,0,11,0,1342,110,190,200,52,308,128,354,2193,28,1329,243,219,211,131,135,390,41,ACS_Housing_DC_CensusTract_114,0,0
104,11,001,000201,11001000201,2.01,Census Tract 2.01,G5020,S,503312,0,+38.9092067,-077.0743257,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,ACS_Housing_DC_CensusTract_61,0,0
105,11,001,010600,11001010600,106,Census Tract 106,G5020,S,1231590,0,+38.9033120,-077.0033103,4787,4147,640,0,11.3,4787,81,1116,101,130,54,14,3291,0,0,4787,1389,1257,626,82,10,44,29,92,196,1062,4787,315,901,1229,746,678,338,380,139,61,3.5,4787,419,1714,1328,1178,125,23,4147,762,3385,2.71,2,4147,1126,1115,1250,368,90,198,4147,1528,2191,415,13,4147,1340,6,2748,13,0,0,0,0,40,4147,0,8,108,4147,3983,89,75,762,33,0,0,0,20,145,484,80,662200,762,660,102,660,0,0,98,103,121,81,257,2549,102,0,0,57,0,0,45,,660,339,77,45,38,161,0,102,0,0,0,33,0,0,69,0,3347,46,29,68,491,1313,557,843,2396,38,3269,494,548,468,372,401,986,116,ACS_Housing_DC_CensusTract_131,0,0
106,11,001,004801,11001004801,48.01,Census Tract 48.01,G5020,S,317222,0,+38.9117413,-077.0195344,1352,1236,116,5,0,1352,106,472,162,66,60,112,374,0,0,1352,139,103,133,61,53,46,4,93,26,694,1352,138,125,285,291,195,163,92,30,33,3.9,1352,138,336,493,234,130,21,1236,533,703,2.56,2.19,1236,187,308,320,262,56,103,1236,501,582,130,23,1236,578,8,595,0,0,0,0,0,55,1236,0,8,0,1236,1206,0,30,533,0,12,0,0,8,62,364,87,769900,533,493,40,493,0,0,40,73,76,69,235,2917,40,0,15,7,0,5,13,,493,261,56,85,17,74,0,40,17,0,8,15,0,0,0,0,703,109,51,53,160,115,126,89,1933,0,675,115,63,176,93,108,120,28,ACS_Housing_DC_CensusTract_67,0,0
107,11,001,007806,11001007806,78.06,Census Tract 78.06,G5020,S,671434,0,+38.9055926,-076.9325520,1176,1053,123,0,4.5,1176,410,306,17,217,146,80,0,0,0,1176,0,17,26,51,96,89,261,230,126,280,1176,61,55,176,151,193,257,21,70,192,5.3,1176,61,307,171,415,177,45,1053,507,546,2.44,2.23,1053,107,135,359,143,124,185,1053,315,463,141,134,1053,675,3,366,0,0,0,0,0,9,1053,0,0,63,1053,1014,39,0,507,7,7,0,49,111,194,124,15,384600,507,356,151,356,0,13,69,139,98,28,9,1857,151,19,36,43,17,36,0,538,356,99,87,20,28,122,0,151,71,29,7,36,0,0,8,0,526,9,271,202,33,11,0,0,988,20,526,24,9,32,65,27,369,20,ACS_Housing_DC_CensusTract_154,0,0
108,11,001,005002,11001005002,50.02,Census Tract 50.02,G5020,S,233823,0,+38.9072785,-077.0293181,3578,3282,296,0,4.6,3578,0,62,33,171,281,154,2877,0,0,3578,14,29,834,147,416,309,623,184,187,835,3578,862,683,903,741,164,130,81,0,14,2.8,3578,959,1598,800,163,44,14,3282,871,2411,1.49,1.85,3282,442,707,1111,700,273,49,3282,2004,1136,124,18,3282,1088,27,2023,0,0,0,0,0,144,3282,21,14,46,3282,2996,69,217,871,27,0,0,0,50,432,331,31,472200,871,767,104,767,0,20,102,95,199,94,257,2418,104,0,0,33,0,20,51,895,767,350,165,67,58,127,0,104,73,31,0,0,0,0,0,0,2389,458,136,309,544,483,195,264,1768,22,2361,380,300,224,436,292,729,50,ACS_Housing_DC_CensusTract_125,0,0
109,11,001,010700,11001010700,107,Census Tract 107,G5020,S,891588,0,+38.9039988,-077.0419809,1174,1088,86,0,2.4,1174,0,9,8,8,76,0,1073,0,0,1174,0,28,19,93,117,313,324,104,7,169,1174,368,216,354,156,71,0,0,9,0,2.5,1174,451,493,221,0,9,0,1088,157,931,1.27,1.55,1088,181,288,348,62,114,95,1088,679,375,34,0,1088,318,10,711,20,0,0,0,0,29,1088,0,7,27,1088,1042,25,21,157,0,0,0,0,6,97,45,9,382400,157,106,51,106,0,0,48,13,20,16,9,1679,51,0,0,0,0,16,35,1307,99,34,0,17,0,48,7,51,33,0,11,0,0,0,7,0,931,0,44,87,230,343,137,90,2152,0,905,56,75,142,138,66,428,26,ACS_Housing_DC_CensusTract_59,0,0
110,11,001,004902,11001004902,49.02,Census Tract 49.02,G5020,S,263879,0,+38.9058867,-077.0243932,1701,1680,21,0,2,1701,33,115,37,124,103,109,1180,0,0,1701,124,79,591,224,85,112,105,16,24,341,1701,135,204,588,465,82,116,41,12,58,3.4,1701,146,582,825,82,34,32,1680,662,1018,1.61,2.35,1680,260,399,589,333,86,13,1680,716,759,173,32,1680,482,22,1154,0,0,0,0,11,11,1680,0,0,49,1680,1644,36,0,662,9,5,0,0,0,167,380,101,622500,662,530,132,530,0,0,9,31,61,143,286,3086,132,0,0,13,11,54,54,878,530,287,122,44,11,66,0,132,50,8,24,5,0,0,45,0,1018,66,87,262,84,158,147,214,2032,0,962,135,288,119,69,75,276,56,ACS_Housing_DC_CensusTract_69,0,0
111,11,001,004802,11001004802,48.02,Census Tract 48.02,G5020,S,286769,0,+38.9062235,-077.0189040,1902,1805,97,0,4.7,1902,110,128,116,302,205,305,736,0,0,1902,0,378,203,57,190,392,142,41,21,478,1902,151,377,393,458,261,163,15,50,34,3.6,1902,165,800,605,169,152,11,1805,354,1451,1.42,2.1,1805,205,356,481,508,23,232,1805,790,784,221,10,1805,482,24,1289,0,0,0,0,0,10,1805,0,35,11,1805,1740,37,28,354,0,0,0,0,0,114,197,43,619300,354,319,35,319,0,0,0,55,66,91,107,2712,35,0,0,0,35,0,0,,319,138,52,39,36,54,0,35,23,12,0,0,0,0,0,0,1451,97,300,240,155,342,164,153,1785,0,1451,291,226,199,146,127,462,0,ACS_Housing_DC_CensusTract_68,0,0
112,11,001,009602,11001009602,96.02,Census Tract 96.02,G5020,S,1306703,77605,+38.9035419,-076.9522863,1937,1859,78,0,4.8,1937,0,296,39,141,831,268,362,0,0,1937,122,273,277,61,124,156,132,302,293,197,1937,24,136,455,687,314,186,39,96,0,4,1937,35,546,942,350,64,0,1859,320,1539,1.88,2.07,1859,156,331,564,511,176,121,1859,1130,488,212,29,1859,661,14,1176,0,0,0,0,0,8,1859,0,0,58,1859,1839,6,14,320,0,0,0,14,108,177,21,0,336900,320,310,10,310,12,0,154,66,50,28,0,1482,10,0,0,10,0,0,0,,298,103,35,47,79,34,12,10,10,0,0,0,0,0,0,0,1429,255,337,575,262,0,0,0,1094,110,1266,91,19,177,156,89,734,273,ACS_Housing_DC_CensusTract_92,0,0
113,11,001,008802,11001008802,88.02,Census Tract 88.02,G5020,S,468578,0,+38.9039498,-076.9866786,2015,1811,204,0,4.1,2015,59,773,94,738,29,132,190,0,0,2015,97,0,39,36,22,137,224,208,268,984,2015,0,241,583,227,233,329,148,154,100,4.3,2015,0,746,439,623,161,46,1811,787,1024,2.6,2.27,1811,295,373,451,342,98,252,1811,620,910,253,28,1811,1197,0,529,26,0,0,0,47,12,1811,0,0,38,1811,1752,59,0,787,21,13,0,0,11,247,466,29,563400,787,635,152,635,0,18,34,107,119,134,223,2647,152,20,59,61,0,12,0,349,635,170,82,121,56,206,0,152,36,51,21,9,13,10,12,0,1015,111,289,427,86,60,9,33,1126,9,942,117,147,76,213,30,359,82,ACS_Housing_DC_CensusTract_144,0,0
114,11,001,008903,11001008903,89.03,Census Tract 89.03,G5020,S,305651,0,+38.9041579,-076.9777180,1785,1529,256,0,3,1785,29,402,77,388,150,364,375,0,0,1785,118,357,112,0,93,0,98,303,534,170,1785,45,376,303,556,178,136,121,27,43,3.8,1785,45,795,614,266,53,12,1529,324,1205,2.34,2.11,1529,224,280,635,260,10,120,1529,535,830,121,43,1529,859,9,641,7,0,0,0,0,13,1529,0,0,58,1529,1475,41,13,324,18,0,8,0,45,172,81,0,392900,324,259,65,259,12,59,9,78,76,0,25,1879,65,19,16,22,8,0,0,392,259,106,75,15,26,37,0,65,19,21,16,0,0,0,9,0,1205,22,36,663,260,150,74,0,1418,0,1180,52,121,221,109,61,616,25,ACS_Housing_DC_CensusTract_142,0,0
115,11,001,004701,11001004701,47.01,Census Tract 47.01,G5020,S,324657,0,+38.9041493,-077.0136510,2916,2446,470,5.9,8,2916,125,226,62,38,0,41,2424,0,0,2916,501,306,685,89,185,157,489,53,97,354,2916,182,542,1149,486,256,194,69,38,0,3.1,2916,182,1639,913,149,16,17,2446,506,1940,1.47,2.13,2446,397,478,920,403,95,153,2446,1205,1046,195,0,2446,802,0,1548,0,0,0,0,0,96,2446,0,0,81,2446,2280,22,144,506,0,0,0,0,17,197,275,17,567700,506,373,133,373,0,0,24,56,114,56,123,2467,133,31,0,18,34,0,50,751,373,197,21,18,27,110,0,133,34,33,18,0,0,0,48,0,1862,613,88,418,138,203,273,129,1161,78,1786,369,130,136,390,185,576,154,ACS_Housing_DC_CensusTract_126,0,0
116,11,001,010100,11001010100,101,Census Tract 101,G5020,S,580133,0,+38.9026943,-077.0318400,1838,1692,146,0,6,1838,13,0,0,0,11,12,1802,0,0,1838,7,17,508,45,94,95,388,249,143,292,1838,558,493,380,282,101,0,11,0,13,2.2,1838,628,762,424,0,11,13,1692,393,1299,1.4,1.61,1692,366,532,458,208,113,15,1692,982,568,142,0,1692,356,11,1203,43,0,0,0,14,65,1692,10,56,15,1692,1509,23,160,393,0,12,0,0,17,138,200,26,539200,393,344,49,344,0,12,21,15,95,70,131,2707,49,0,0,0,0,0,49,1177,344,133,41,100,0,70,0,49,43,0,6,0,0,0,0,0,1292,0,24,233,465,194,225,151,1918,7,1242,289,123,98,219,86,427,57,ACS_Housing_DC_CensusTract_113,0,0
117,11,001,008904,11001008904,89.04,Census Tract 89.04,G5020,S,449343,0,+38.9009808,-076.9748514,2075,1802,273,0,9.5,2075,0,425,124,357,496,662,11,0,0,2075,0,0,108,112,0,272,227,272,457,627,2075,85,334,598,520,269,176,35,44,14,3.5,2075,85,890,712,357,31,0,1802,166,1636,2.38,2.35,1802,121,238,889,385,100,69,1802,982,691,96,33,1802,854,6,888,31,0,0,0,0,23,1802,42,0,80,1802,1688,87,27,166,14,0,0,0,15,70,67,0,459000,166,142,24,142,4,0,34,18,53,14,19,2142,24,0,10,14,0,0,0,,142,59,43,10,4,26,0,24,10,0,0,0,0,0,14,0,1543,260,309,750,165,33,0,26,1092,93,1484,287,78,166,243,185,525,152,ACS_Housing_DC_CensusTract_143,0,0
118,11,001,005600,11001005600,56,Census Tract 56,G5020,S,457260,7186,+38.9002000,-077.0538118,3801,3092,709,8.1,8.1,3801,0,257,56,0,18,20,3450,0,0,3801,15,17,119,161,191,781,1463,587,82,385,3801,908,657,1096,524,387,98,30,35,66,2.8,3801,1024,1781,685,227,65,19,3092,1223,1869,1.58,1.73,3092,712,807,688,368,202,315,3092,1875,1018,186,13,3092,1038,74,1729,85,0,0,0,43,123,3092,0,16,82,3092,2941,26,125,1223,14,0,23,14,143,278,457,294,644100,1223,472,751,472,0,70,88,65,52,115,82,2125,751,116,54,130,166,19,266,755,472,365,42,0,18,47,0,652,343,164,20,19,72,0,34,99,1777,104,58,274,693,339,217,92,1826,92,1634,256,155,198,77,134,814,235,ACS_Housing_DC_CensusTract_84,0,0
119,11,001,007807,11001007807,78.07,Census Tract 78.07,G5020,S,522749,0,+38.8985783,-076.9210632,949,830,119,0,6,949,243,173,37,79,133,279,5,0,0,949,0,0,92,18,18,127,206,204,192,92,949,15,62,140,291,160,107,83,29,62,4.4,949,24,175,368,217,118,47,830,291,539,2.67,2.77,830,34,113,193,210,93,187,830,282,373,108,67,830,446,0,356,11,0,0,0,0,17,830,0,0,16,830,822,8,0,291,2,0,4,70,73,103,39,0,296700,291,169,122,169,0,17,82,36,23,11,0,1371,122,16,50,13,36,0,7,450,166,57,14,18,8,69,3,122,62,0,21,3,9,0,27,0,532,23,200,176,103,22,8,0,1108,7,532,72,50,76,96,22,216,7,ACS_Housing_DC_CensusTract_153,0,0
120,11,001,007100,11001007100,71,Census Tract 71,G5020,S,602223,149901,+38.8771811,-076.9868380,1430,1293,137,0,6.9,1430,35,440,110,34,207,217,387,0,0,1430,35,29,278,35,8,74,183,73,192,523,1430,33,132,252,445,251,172,86,32,27,4.2,1430,42,338,617,409,19,5,1293,555,738,2.08,2.99,1293,268,263,313,196,173,80,1293,536,618,129,10,1293,679,34,534,18,0,0,0,11,17,1293,0,0,25,1293,1230,63,0,555,0,0,0,0,27,176,297,55,572500,555,490,65,490,0,18,42,62,46,73,249,3019,65,0,0,19,24,7,15,696,490,195,87,73,54,81,0,65,32,10,6,0,0,0,17,0,725,177,118,86,92,125,64,63,1424,13,706,53,139,72,101,53,288,32,ACS_Housing_DC_CensusTract_39,0,0
121,11,001,007709,11001007709,77.09,Census Tract 77.09,G5020,S,828872,82685,+38.8798620,-076.9675363,1193,1079,114,6.7,5.2,1193,119,119,11,565,87,226,66,0,0,1193,0,0,0,31,47,33,219,250,422,191,1193,45,97,220,354,213,160,50,24,30,4.2,1193,57,484,432,157,56,7,1079,194,885,2.33,2.18,1079,96,202,281,200,165,135,1079,441,466,145,27,1079,747,11,295,0,0,0,0,14,12,1079,0,0,6,1079,998,64,17,194,4,0,4,3,46,101,33,3,347100,194,132,62,132,4,24,41,38,17,0,8,1467,62,5,8,20,24,5,0,586,132,49,11,11,11,50,0,62,8,20,29,0,5,0,0,0,868,67,240,438,97,0,26,0,1090,17,818,107,94,87,64,50,416,67,ACS_Housing_DC_CensusTract_137,0,0
122,11,001,007707,11001007707,77.07,Census Tract 77.07,G5020,S,842851,0,+38.8779453,-076.9353432,1783,1642,141,5,3.6,1783,411,596,58,117,137,296,145,23,0,1783,9,0,220,123,0,33,436,451,446,65,1783,0,157,197,222,299,452,184,74,198,5.5,1783,0,306,554,695,187,41,1642,736,906,2.5,3.18,1642,167,201,420,370,189,295,1642,593,575,386,88,1642,1018,8,608,8,0,0,0,0,0,1642,0,9,84,1642,1578,20,44,736,31,0,22,62,242,303,76,0,304400,736,593,143,593,0,80,207,81,155,63,7,1542,143,36,25,38,22,0,22,434,585,213,70,130,10,162,8,143,58,17,0,9,0,8,51,0,853,146,402,191,85,29,0,0,905,53,765,120,134,38,78,38,357,141,ACS_Housing_DC_CensusTract_136,0,0
123,11,001,007200,11001007200,72,Census Tract 72,G5020,S,1368064,312418,+38.8756862,-077.0013043,4209,3835,374,0,7.8,4209,58,323,41,0,10,0,3777,0,0,4209,1334,667,1854,120,50,0,18,0,45,121,4209,554,1104,1305,683,311,136,76,10,30,2.8,4209,605,2075,1247,182,100,0,3835,622,3213,1.87,1.74,3835,1410,856,1050,491,28,0,3835,1300,2173,354,8,3835,667,23,3067,0,0,0,0,9,69,3835,0,0,29,3835,3741,41,53,622,0,0,0,0,18,167,400,37,612100,622,570,52,570,0,10,85,42,173,70,190,2428,52,0,0,9,0,43,0,881,570,310,111,31,29,89,0,52,52,0,0,0,0,0,0,0,3213,229,105,161,347,1078,724,569,2355,0,3195,486,627,783,324,230,745,18,ACS_Housing_DC_CensusTract_41,0,0
124,11,001,009902,11001009902,99.02,Census Tract 99.02,G5020,S,1294559,0,+38.8717861,-076.9445542,1302,1123,179,2.8,24.7,1302,154,898,0,0,54,115,81,0,0,1302,0,0,0,0,68,33,103,401,477,220,1302,49,67,65,104,218,244,226,223,106,6.1,1302,49,126,208,835,73,11,1123,891,232,3.03,1.98,1123,77,87,255,244,196,264,1123,286,600,168,69,1123,862,19,242,0,0,0,0,0,0,1123,0,0,31,1123,1081,26,16,891,0,31,0,105,449,288,11,7,275600,891,612,279,612,0,86,160,204,97,54,11,1660,279,17,73,102,40,11,36,464,612,213,104,66,65,164,0,242,173,0,0,47,11,0,11,37,216,12,100,36,48,20,0,0,920,16,216,20,13,24,12,0,147,16,ACS_Housing_DC_CensusTract_99,0,0
125,11,001,011000,11001011000,110,Census Tract 110,G5020,S,654090,364121,+38.8681789,-077.0182455,2640,2540,100,0,0,2640,40,566,0,40,83,16,1895,0,0,2640,21,0,0,51,11,78,2032,268,78,101,2640,197,463,555,695,396,197,44,53,40,3.7,2640,285,1005,1058,232,60,0,2540,1495,1045,1.42,1.85,2540,317,378,672,398,320,455,2540,829,1460,225,26,2540,1177,92,1109,76,0,0,0,39,47,2540,0,0,45,2540,2514,0,26,1495,0,0,28,82,389,648,292,56,356200,1495,943,552,943,0,94,179,248,195,118,109,1921,552,165,0,16,59,19,293,1042,919,442,161,72,75,169,24,552,260,145,12,30,35,0,70,0,1045,109,91,254,203,55,246,87,1669,0,1022,67,126,233,291,22,283,23,ACS_Housing_DC_CensusTract_21,0,0
126,11,001,007601,11001007601,76.01,Census Tract 76.01,G5020,S,1115359,141529,+38.8716327,-076.9798185,2351,2159,192,2.5,4.6,2351,295,743,64,470,215,291,273,0,0,2351,11,108,57,131,33,173,320,331,300,887,2351,122,55,436,470,338,310,212,179,229,4.8,2351,122,750,693,512,254,20,2159,842,1317,2.57,2.2,2159,323,333,632,345,125,401,2159,825,888,381,65,2159,1409,14,667,27,0,0,0,24,18,2159,0,0,19,2159,2116,0,43,842,54,0,9,30,213,455,61,20,338600,842,590,252,590,15,63,228,189,35,31,29,1481,252,47,83,81,30,0,11,347,581,339,77,15,33,117,9,252,146,34,21,10,24,0,17,0,1263,199,486,428,140,10,0,0,981,54,1236,189,35,63,82,135,732,81,ACS_Housing_DC_CensusTract_106,0,0
127,11,001,006400,11001006400,64,Census Tract 64,G5020,S,688025,246481,+38.8688572,-077.0114342,1435,1317,118,0,6,1435,21,358,95,14,288,64,595,0,0,1435,11,176,53,50,55,197,206,206,162,319,1435,68,191,390,438,190,18,52,71,17,3.7,1435,93,367,777,163,34,1,1317,196,1121,1.56,2.26,1317,172,216,425,288,161,55,1317,839,395,76,7,1317,513,0,731,0,0,0,0,0,73,1317,0,0,103,1317,1317,0,0,196,0,0,0,0,0,60,136,0,617300,196,179,17,179,10,0,0,55,51,32,31,2240,17,0,15,2,0,0,0,354,179,54,12,9,41,63,0,17,10,0,0,0,7,0,0,0,1108,503,248,54,77,126,50,50,678,13,1035,207,94,155,96,125,358,86,ACS_Housing_DC_CensusTract_16,0,0
128,11,001,007604,11001007604,76.04,Census Tract 76.04,G5020,S,1369580,0,+38.8660921,-076.9638007,2037,1850,187,8.3,6.7,2037,463,162,41,115,396,441,411,8,0,2037,0,0,75,28,26,104,474,362,575,393,2037,59,67,249,667,338,153,100,160,244,4.5,2037,59,513,759,422,197,87,1850,595,1255,2.75,2.02,1850,92,459,549,370,166,214,1850,624,799,337,90,1850,1219,17,590,0,0,0,0,0,24,1850,0,0,42,1850,1809,41,0,595,38,0,19,0,89,209,230,10,438800,595,473,122,473,20,10,39,159,57,62,126,2075,122,12,36,47,16,11,0,528,473,307,35,33,0,98,0,122,101,11,0,0,0,10,0,0,1170,112,257,499,183,111,8,0,1147,85,1068,139,134,132,158,49,456,187,ACS_Housing_DC_CensusTract_122,0,0
129,11,001,007401,11001007401,74.01,Census Tract 74.01,G5020,S,1203296,200980,+38.8675208,-076.9991203,1072,715,357,10.5,6,1072,54,487,0,17,100,222,192,0,0,1072,13,150,77,69,36,75,125,111,136,280,1072,6,27,272,233,279,142,105,8,0,4.5,1072,6,286,383,330,67,0,715,129,586,2.26,2.39,715,39,108,283,146,77,62,715,474,184,49,8,715,323,3,376,8,0,0,0,0,5,715,0,12,74,715,696,13,6,129,0,10,0,19,53,47,0,0,266300,129,92,37,92,0,14,27,24,21,0,6,1802,37,0,0,11,18,0,8,742,92,37,5,8,21,21,0,37,18,19,0,0,0,0,0,0,545,247,124,128,21,18,7,0,607,41,464,22,44,44,25,41,288,122,ACS_Housing_DC_CensusTract_70,0,0
130,11,001,007301,11001007301,73.01,Census Tract 73.01,G5020,S,4684640,5139019,+38.8349280,-077.0244450,1368,1290,78,,1,1368,164,1147,0,0,18,0,39,0,0,1368,11,299,292,260,118,278,0,72,38,0,1368,0,4,54,52,108,311,353,230,256,6.9,1368,0,29,103,789,401,46,1290,0,1290,,3.33,1290,266,569,455,0,0,0,1290,66,513,658,53,1290,641,8,641,0,0,0,0,0,0,1290,0,0,14,1290,1264,26,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,8,431,461,298,2674,92,1189,84,126,189,133,93,564,101,ACS_Housing_DC_CensusTract_76,0,0
